filename	read_id	run_id	channel	mux	start_time	duration	template_start	template_duration	sequence_length_template	mean_qscore_template	barcode
channel-180.pod5	ad4af16e-f1e3-4a02-9b52-eae8fc4062db	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	60486.5	1.1958	60487.7	0	474	21	unclassified
channel-180.pod5	d1356b8e-dc10-47e0-8923-efdda875b267	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	60512.3	0.7624	60513.1	0	277	20	unclassified
channel-180.pod5	a5955958-6633-4bf0-8944-a177cd5d69c9	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	60302.3	1.9184	60304.2	0	868	19	unclassified
channel-180.pod5	fa1e239d-1952-48a9-9dc8-3ff82fd59d05	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	60292.3	2.6894	60295	0	1247	20	unclassified
channel-180.pod5	4238a70a-8b74-4d42-9f82-684b50c0ab1f	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	60474.5	2.0992	60476.6	0	743	23	unclassified
channel-180.pod5	9ed84543-c2bd-438e-a063-f5262da9eb17	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	60349.8	3.087	60352.9	0	1181	23	unclassified
channel-180.pod5	3cd807be-5e66-43de-adad-206a8698f20c	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	60204.5	4.2234	60208.7	0	1595	27	unclassified
channel-180.pod5	80cd17b9-b4b5-4b78-805c-5a734b1b2459	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	60260.5	0.6544	60261.1	0	212	21	unclassified
channel-180.pod5	2c7164c3-4511-4fec-ba73-2e99eaf05ae3	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	60381.7	12.592	60394.3	0	5364	21	unclassified
channel-180.pod5	d53585ef-ca8e-48a8-ba5f-2ee56446cbe0	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	60552.6	1.6422	60554.3	0	619	20	unclassified
channel-180.pod5	e8a0ed55-e3bb-4991-9861-e7dc7830c6d1	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	60618.3	0.894	60619.2	0	334	21	unclassified
channel-180.pod5	2d9742a9-40f5-48fd-b463-2eef0d59fbf6	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	60757.6	0.9424	60758.5	0	436	22	unclassified
channel-180.pod5	d9d5310e-f4c5-4950-9fa8-002f66e31609	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	60627.7	0.7236	60628.4	0	268	20	unclassified
channel-180.pod5	2c8553e6-168b-40a5-81de-591060e88fa3	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	60342.6	3.009	60345.6	0	1174	22	unclassified
channel-180.pod5	0d37ab37-5bbc-448f-8772-20178f1e1925	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	60741.7	1.499	60743.2	0	443	25	unclassified
channel-180.pod5	f57be415-686d-43af-a782-a1b67897f11d	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	59907.1	30.6822	59937.8	0	12136	12	unclassified
